TIEJAKSO_ID;TIENUMERO;TIEJAKSO;TIEJAKSO_VERSIO;SELITE1;SELITE2;TIE;AOSA;AET;LOSA;LET;PITUUS
00008_112_000_0;8;112;0;Vt 8;Laitila - Rauma;8;112;0;118;2870;32185
00008_119_000_0;8;119;0;Vt 8;Rauma - Pori;8;119;0;126;5735;46619
00008_201_000_0;8;201;0;Vt 8;Pori - Merikarvia;8;201;0;209;4136;45622
00008_210_000_0;8;210;0;Vt 8;Merikarvia - Kaskinen;8;210;0;221;4845;63123
00008_222_000_0;8;222;0;Vt 8;Kaskinen - Pirttikylä;8;222;0;229;6114;34774
00008_230_000_0;8;230;0;Vt 8;Pirttikylä - Vaasa;8;230;0;238;6596;37024
00008_239_000_0;8;239;0;Vt 8;Vaasa - Kuni;8;239;0;306;1754;25511
00008_307_000_0;8;307;0;Vt 8;Kuni - Jepua;8;307;0;318;3210;46357
00008_319_000_0;8;319;0;Vt 8;Jepua - Kokkola;8;319;0;331;3463;51814
00008_401_000_0;8;401;0;Vt 8;Kokkola - Kalajoki;8;401;0;416;6565;67635
00008_417_000_0;8;417;0;Vt 8;Kalajoki - Raahe;8;417;0;428;6469;55948
00008_429_000_0;8;429;0;Vt 8;Raahe - Liminka;8;429;0;439;3312;52427
00009_101_000_0;9;101;0;Vt 9;Turku - Aura;9;101;0;106;6296;26956
00009_107_000_0;9;107;0;Vt 9;Aura - Humppila;9;107;0;118;2993;56470
00009_119_000_0;9;119;0;Vt 9;Humppila - Toijala;9;119;0;125;7404;42380
00009_204_000_0;9;204;0;Vt 9;Tampere - Suinula;9;204;0;207;5342;19244
00009_208_000_0;9;208;0;Vt 9;Suinula - Orivesi;9;208;0;210;8510;23889
00009_211_000_0;9;211;0;Vt 9;Orivesi - Jämsä;9;211;0;220;1525;49260
00009_224_000_0;9;224;0;Vt 9;Jämsä - Korpilahti;9;224;0;230;1958;31696
00009_231_000_0;9;231;0;Vt 9;Korpilahti - Jyväskylä;9;231;0;235;7668;26817
00009_303_000_0;9;303;0;Vt 9;Jyväskylä - Hankasalmi;9;303;0;310;3357;41359
00009_311_000_0;9;311;0;Vt 9;Hankasalmi - Suonenjoki;9;311;0;318;5078;39209
00009_319_000_0;9;319;0;Vt 9;Suonenjoki - Vehmasmäki;9;319;0;325;6001;33059
00009_327_000_0;9;327;0;Vt 17;Kuopio - Riistavesi;9;327;0;331;5387;26305
00009_332_000_0;9;332;0;Vt 17;Riistavesi- Viinijärvi;9;332;0;347;4381;73833
00009_348_000_0;9;348;0;Vt 17;Viinijärvi - Joensuu;9;348;0;353;806;25637
00009_354_000_0;9;354;0;Kt 70;Onkamo - Niirala;9;354;0;361;4446;33469
00010_001_000_0;10;1;0;Vt 10;Turku - Tarvasjoki;10;1;0;7;2553;27460
00010_007_000_0;10;7;0;Vt 10;Tarvasjoki - maakuntaraja;10;7;2553;11;3338;35867
00010_012_000_0;10;12;0;Vt 10;maakuntaraja - Kt 54 th;10;12;0;20;5238;45626
00010_021_000_0;10;21;0;Vt 10;Kt 54 th - Hämeenlinna;10;21;0;25;3934;29930
00010_025_000_0;10;25;0;Vt 10;Hämeenlinna - Tuulos;10;25;3934;31;2911;27931
00011_003_000_0;11;3;0;Vt 11;Mouhijärvi - Tampere;11;3;0;8;2660;28026
00011_009_000_0;11;9;0;Vt 11;Kiikoinen - Mouhijärvi;11;9;0;13;5012;26334
00011_014_000_0;11;14;0;Vt 11;Koski - Kiikoinen;11;14;0;16;8346;19761
00011_017_000_0;11;17;0;Vt 11;Pori - Koski;11;17;0;20;3750;19603
00012_102_000_0;12;102;0;Vt 12;Rauma - Eura;12;102;200;108;7316;33821
00012_109_000_0;12;109;0;Vt 12;Eura- Huittinen;12;109;0;113;5499;25433
00012_114_000_0;12;114;0;Vt 12;Huittinen - Vammala;12;114;0;118;6078;24039
00012_119_000_0;12;119;0;Vt 12;Vammala - Nokia;12;119;0;124;10048;35774
00012_125_000_0;12;125;0;Vt 12;Nokia - Tampere;12;125;0;127;7018;18349
00012_201_000_0;12;201;0;Vt 12;Tampere - Kangasala;12;201;0;203;7276;18194
00012_204_000_0;12;204;0;Vt 12;Kangasala - Pälkäne;12;204;0;208;3802;25199
00012_210_000_0;12;210;0;Vt 12;Pälkäne - Tuulos;12;210;0;214;4941;34645
00012_215_000_0;12;215;0;Vt 12;Tuulos - Hollola;12;215;0;221;3348;37723
00012_221_000_0;12;221;0;Vt 12;Hollola - Lahti;12;221;3348;223;4088;13071
00012_224_000_0;12;224;0;Vt 12;Lahti - Kausala;12;224;0;228;3783;29937
00012_228_000_0;12;228;0;Vt 12;Kausala - Kouvola;12;228;3783;232;2604;22048
00013_101_000_0;13;101;0;Vt 13;Kokkola - Veteli;13;101;0;111;6872;51118
00013_112_000_0;13;112;0;Vt 13;Veteli - Kyyjärvi;13;112;0;123;7399;70064
00013_124_000_0;13;124;0;Vt 13;Kyyjärvi - Saarijärvi;13;124;0;134;4068;57870
00013_135_000_0;13;135;0;Vt 13;Saarijärvi - Äänekoski;13;135;0;139;4073;23607
00013_201_000_0;13;201;0;Vt 13;Lievestuore - Kangasniemi;13;201;0;208;2532;38957
00013_209_000_0;13;209;0;Vt 13;Kangasniemi - Mikkeli;13;209;0;218;2561;49854
00013_222_000_0;13;222;0;Vt 13;Mikkeli - Ristiina;13;220;810;225;5510;26222
00013_226_000_0;13;226;0;Vt 13;Ristiina - Savitaipale;13;226;0;233;2104;43058
00013_234_000_0;13;234;0;Vt 13;Savitaipale - Lappeenranta;13;234;0;238;3622;29630
00013_239_000_0;13;239;0;Vt 13;Lappeenranta - Nuijamaa;13;239;0;241;6603;17970
00014_001_000_0;14;1;0;Vt 14;Juva - Rantasalmi;14;1;0;9;6331;40200
