EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0162509;1007;Tie 2 Salkola;Tienpinta;2;18;1565;6725855;331224;Lohja
C0162601;4002;Tie 24 Arrakoski;Jämsään;24;11;6308;6807594;403237;Padasjoki
C0162602;4002;Tie 24 Arrakoski;Lahteen;24;11;6308;6807594;403237;Padasjoki
C0162604;4002;Tie 24 Arrakoski;Tie 3254 Kaukelaan;24;11;6308;6807594;403237;Padasjoki
C0162609;4002;Tie 24 Arrakoski;Tienpinta;24;11;6308;6807594;403237;Padasjoki
C0162701;1014;Tie 25 Hanko, Santala;Hyvinkäälle;25;4;4095;6644654;284493;Hanko
C0162702;1014;Tie 25 Hanko, Santala;Hankoon;25;4;4095;6644654;284493;Hanko
C0162709;1014;Tie 25 Hanko, Santala;Tienpinta;25;4;4095;6644654;284493;Hanko
C0162801;1022;Tie 7 Loviisa_Länsi;Kotkaan;7;19;15;6706076;439137;Kotka
C0162802;1022;Tie 7 Loviisa_Länsi;Helsinkiin;7;19;15;6706076;439137;Kotka
