EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C1455101;14035;Tie 4, Rovaniemi 5;Sodankylään;4;501;625;7376635;443291;Rovaniemi
C1455301;14017;Tie 965 Saija;Savukoskelle;965;15;765;7443405;579394;Salla
C1455302;14017;Tie 965 Saija;Sallaan;965;15;765;7443405;579394;Salla
C1455309;14017;Tie 965 Saija;Tienpinta;965;15;765;7443405;579394;Salla
C1455401;14009;Tie 78 Pöykkölä;Rovaniemelle;78;223;8244;7373223;444140;Rovaniemi
C1455402;14009;Tie 78 Pöykkölä;Ranualle;78;223;8244;7373223;444140;Rovaniemi
C1455409;14009;Tie 78 Pöykkölä;Tienpinta;78;223;8244;7373223;444140;Rovaniemi
C1455501;14015;Tie 79 Patokoski;Kittilään;79;9;6591;7417523;432118;Rovaniemi
C1455502;14015;Tie 79 Patokoski;Rovaniemelle;79;9;6591;7417523;432118;Rovaniemi
C1455509;14015;Tie 79 Patokoski;Tienpinta;79;9;6591;7417523;432118;Rovaniemi
C1455601;14039;Tie 4 Kemi, Hepola;Kemiin;4;423;3817;7288012;393224;Kemi
C1455602;14039;Tie 4 Kemi, Hepola;Ouluun;4;423;3817;7288012;393224;Kemi
C1455609;14039;Tie 4 Kemi, Hepola;Tienpinta;4;423;3817;7288012;393224;Kemi
C1455701;14039;Tie 4 Kemi, Ajos;Kemiin;4;424;3531;7290287;390510;Kemi
C1455702;14039;Tie 4 Kemi, Ajos;Ouluun;4;424;3531;7290287;390510;Kemi
C1455709;14039;Tie 4 Kemi, Ajos;Tienpinta;4;424;3531;7290287;390510;Kemi
C1455801;14039;Tie 4 Kemi, Etelänväylä;Kemiin;4;425;2283;7292294;389479;Kemi
C1455802;14039;Tie 4 Kemi, Etelänväylä;Ouluun;4;425;2283;7292294;389479;Kemi
C1455809;14039;Tie 4 Kemi, Etelänväylä;Tienpinta;4;425;2283;7292294;389479;Kemi
C1455901;14036;Tie 4 Kemi, Sauvonväylä;Tornioon;4;425;3576;7293518;389206;Kemi
C1455902;14036;Tie 4 Kemi, Sauvonväylä;Ouluun;4;425;3576;7293518;389206;Kemi
C1455909;14036;Tie 4 Kemi, Sauvonväylä;Tienpinta;4;425;3576;7293518;389206;Kemi
C1456001;14036;Tie 4 Kemi, Ristikangas;Tornioon;4;425;5182;7295074;388763;Kemi
C1456002;14036;Tie 4 Kemi, Ristikangas;Ouluun;4;425;5182;7295074;388763;Kemi
C1456009;14036;Tie 4 Kemi, Ristikangas;Tienpinta;4;425;5182;7295074;388763;Kemi
C1456101;14036;Tie 4 Kemi, Paattio;Tornioon;4;426;1478;7296879;388415;Kemi
C1456102;14036;Tie 4 Kemi, Paattio;Ouluun;4;426;1478;7296879;388415;Kemi
C1456109;14036;Tie 4 Kemi, Paattio;Tienpinta;4;426;1478;7296879;388415;Kemi
C1456202;14008;Tie 4 Tervola, Paakkola;Tienpinta;4;431;2035;7321937;395169;Tervola
C1456301;14018;Tie 21 Muonio, Tapojärvi;Kilpisjärvelle;21;147;4381;7491351;356010;Muonio
C1456302;14018;Tie 21 Muonio, Tapojärvi;Tornioon;21;147;4381;7491351;356010;Muonio
C1456309;14018;Tie 21 Muonio, Tapojärvi;Tienpinta;21;147;4381;7491351;356010;Muonio
C1456401;14004;Tie 4 Sodankylä, Torvinen;Sodankylään;4;517;12502;7453526;484365;Sodankylä
C1456402;14004;Tie 4 Sodankylä, Torvinen;Rovaniemelle;4;517;12502;7453526;484365;Sodankylä
C1456409;14004;Tie 4 Sodankylä, Torvinen;Tienpinta;4;517;12502;7453526;484365;Sodankylä
C1456501;19945;Tie 955 Kittiä, Pokka;Inariin;955;10;313;7561385;448907;Kittilä
C1456502;19945;Tie 955 Kittiä, Pokka;Kittilään;955;10;313;7561385;448907;Kittilä
C1456509;19945;Tie 955 Kittiä, Pokka;Tienpinta;955;10;313;7561385;448907;Kittilä
C1456601;14030;Tie 945 Kemijärvi, Lehtola;Perä-Posiolle;945;4;656;7382268;531471;Kemijärvi
C1456602;14030;Tie 945 Kemijärvi, Lehtola;Kemijärvelle;945;4;656;7382268;531471;Kemijärvi
C1456606;14030;Tie 945 Kemijärvi, Lehtola;Silta Kemijärvelle;945;4;656;7382268;531471;Kemijärvi
C1456609;14030;Tie 945 Kemijärvi, Lehtola;Tienpinta;945;4;656;7382268;531471;Kemijärvi
C1456700;14023;Tie 29 Kyläjoki;Tie;29;2;796;7304316;374986;Tornio
C1456701;14023;Tie 29 Kyläjoki;Kemiin;29;2;796;7304316;374986;Tornio
C1456702;14023;Tie 29 Kyläjoki;Tie;29;2;796;7304316;374986;Tornio
C1456703;14023;Tie 29 Kyläjoki;Tie;29;2;796;7304316;374986;Tornio
