NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23999;999;L_vt4_Mäntsälä_P;Tie 4 Mäntsälä, pohjoinen;Väg 4 Mäntsälä, norr;Road 4 Mäntsälä, north;4;114;1000;6728098;410744;0;Uusimaa
23142;142;L_vt4_Levanto;Tie 4 Mäntsälä, Levanto;Väg 4 Mäntsälä, Levanto;Road 4 Mäntsälä, Levanto;4;115;4391;6734462;415051;0;Uusimaa
23111;111;L_vt6_Liljendal;Tie 6 Liljendal;Väg 6 Liljendal;Road 6 Liljendal;6;117;2820;6713956;447847;0;Uusimaa
23179;179;L_vt7_Fazerila;Tie 7 Länsimäentie;Väg 7 Västerkullavägen;Road 7 Länsimäentie;7;1;2300;6681219;395512;0;Uusimaa
23141;141;L_vt7_Box;Tie 7 Sipoo, Box;Väg 7 Sibbo, Box;Road 7 Sipoo, Box;7;5;1360;6686113;410475;0;Uusimaa
23112;112;L_vt7_Treksilä;Tie 7 Porvoo, Treksilä;Väg 7 Borgå, Drägsby;Road 7 Porvoo, Treksilä;7;7;3888;6691863;418936;0;Uusimaa
23001;1;L_vt7_Rita;Tie 7 Porvoo, Rita;Väg 7 Borgå, Rita;Road 7 Porvoo, Rita;7;10;1050;6698674;427934;0;Uusimaa
23184;184;L_vt7_Porvoo_Uusikrouvi;Tie 7 Porvoo_Uusikrouvi;Väg 7 Porvoo_Uusikrouvi;Road 7 Porvoo_Uusikrouvi;7;11;2519;6699480;431163;0;Uusimaa
23185;185;L_vt7_Porvoo_Lohijärvi;Tie 7 Porvoo_Lohijärvi;Väg 7 Porvoo_Lohijärvi;Road 7 Porvoo_Lohijärvi;7;12;2281;6700957;435244;0;Uusimaa
23186;186;L_vt7_Loviisa_Gammelbyviken;Tie 7 Loviisa_Gammelbyviken;Väg 7 Loviisa_Gammelbyviken;Road 7 Loviisa_Gammelbyviken;7;14;1243;6706533;440304;0;Uusimaa
23187;187;L_vt7_Loviisa_Kärrbacka;Tie 7 Loviisa_Kärrbacka;Väg 7 Loviisa_Kärrbacka;Road 7 Loviisa_Kärrbacka;7;17;4483;6704427;451561;0;Uusimaa
23188;188;L_vt7_Loviisa;Tie 7 Loviisa;Väg 7 Loviisa;Road 7 Loviisa;7;19;1181;6703458;456656;0;Uusimaa
23189;189;L_vt7_Loviisa_Itä;Tie 7 Loviisa_Itä;Väg 7 Loviisa_Öster;Road 7 Loviisa_East;7;20;976;6704982;460356;0;Uusimaa
23124;124;L_vt25_Dragsvik;Tie 25 Dragsvik;Väg 25 Dragsvik;Road 25 Dragsvik;25;11;2220;6656312;305972;0;Uusimaa
23114;114;L_vt25_Virkkala;Tie 25 Virkkala;Väg 25 Virkby;Road 25 Virkkala;25;19;5020;6677770;334498;0;Uusimaa
23129;129;L_vt25_Selki;Tie 25 Vihti, Selki;Väg 25 Vichtis, Selki;Road 25 Vihti, Selki;25;27;1550;6705061;364063;0;Uusimaa
23133;133;L_vt25_Noppo;Tie 25 Hyvinkää, Noppo;Tie 25 Hyvinge, Noppo;Road 25 Hyvinkää, Noppo;25;32;2220;6717984;381344;0;Uusimaa
23130;130;L_vt25_Keravanjärvi;Tie 25 Mäntsälä, Keravanjä;Väg 25 Mäntsälä, Keravanjärv;Road 25 Mäntsälä, Keravanjärvi;25;34;5000;6721690;395326;0;Uusimaa
23153;153;L_kt45_Oulunkylä;Tie 45 Oulunkylä;Väg 45 Åggelby;Road 45 Oulunkylä;45;1;4900;6677982;386053;0;Uusimaa
23131;131;L_kt45_Tammisto;Tie 45 Tammisto;Väg 45 Rosendal;Road 45 Tammisto;45;2;3200;6681789;387481;0;Uusimaa
23127;127;L_kt45_Rusutjärvi;Tie 45 Tuusula, Rusutjärvi;Väg 45 Tusby, Rusutjärvi;Road 45 Tuusula, Rusutjärvi;45;6;3360;6701271;389153;0;Uusimaa
23125;125;L_kt50_Bemböle;Tie 50 Bemböle;Väg 50 Bemböle;Road 50 Bemböle;50;2;2400;6676391;367386;0;Uusimaa
23140;140;L_kt50_Järvenperä;Tie 50 Järvenperä;Väg 50 Träskända;Road 50 Järvenperä;50;3;3703;6680265;372446;0;Uusimaa
23183;183;L_kt50_Järvenperä2;Tie 50 Järvenperä 2;Väg 50 Träskända 2;Road 50 Järvenperä 2;50;4;0;6681672;373487;0;Uusimaa
23168;168;L_kt50_Askisto;Tie 50 Askisto;Väg 50 Askis;Road 50 Askisto;50;4;4322;6683892;377033;0;Uusimaa
23159;159;L_kt50_Petikko;Tie 50 Petikko;Väg 50 Petikko;Road 50 Petikko;50;5;650;6684296;379140;0;Uusimaa
23128;128;L_kt50_Voutila;Tie 50 Voutila;Väg 50 Brutuby;Road 50 Voutila;50;6;1351;6686385;382905;0;Uusimaa
23169;169;L_kt50_Pakkala;Tie 50 Pakkala;Väg 50 Backas;Road 50 Pakkala;50;6;4908;6686102;386299;0;Uusimaa
23150;150;L_kt50_Vantaanportti;Tie 50 Vantaanportti;Väg 50 Vandaporten;Road 50 Vantaanportti;50;6;6748;6685466;387912;0;Uusimaa
23160;160;L_kt50_Heidehof;Tie 50 Heidehof;Väg 50 Heidehof;Road 50 Heidehof;50;7;3800;6684239;391965;0;Uusimaa
23182;182;L_kt50_Hakunila;Tie 50 Hakunila;Väg 50 Håkansböle;Road 50 Hakunila;50;8;660;6683145;394779;0;Uusimaa
23101;101;L_kt51_Hanasaari;Tie 51 Hanasaari;Väg 51 Hanaholmen;Road 51 Hanasaari;51;2;1614;6671756;380562;0;Uusimaa
23102;102;L_kt51_Soukka;Tie 51 Soukka;Väg 51 Sökö;Road 51 Soukka;51;6;3600;6671408;369171;0;Uusimaa
23143;143;L_kt51_Sundsberg;Tie 51 Sundsberg;Väg 51 Sundsberg;Road 51 Sundsberg;51;7;3950;6669685;364195;0;Uusimaa
23156;156;L_kt51_Jorvas;Tie 51 Jorvas;Väg 51 Jorvas;Road 51 Jorvas;51;8;2700;6667943;360905;0;Uusimaa
23134;134;L_kt51_Inkoo;Tie 51 Inkoo;Väg 51 Ingå;Road 51 Inkoo;51;13;2030;6661785;337223;0;Uusimaa
23115;115;L_kt55_Saksala;Tie 55 Saksala;Väg 55 Saxby;Road 55 Saksala;55;1;4229;6698605;422683;0;Uusimaa
23197;197;L_st100_Kivihaan_tunneli;Tie 100, Hakamäen tunneli;Väg 100, Hakamäen tunneli;Rod 100, Hakamäen tunneli;100;1;770;6676439;384073;0;Uusimaa
23118;118;L_st101_Keilaniemi;Tie 101 Keilaniemi;Väg 101 Kägeludden;Road 101 Keilaniemi;101;1;278;6672635;379386;0;Uusimaa
23116;116;L_st101_Leppävaara;Tie 101 Leppävaara;Väg 101 Alberga;Road 101 Leppävaara;101;3;490;6677147;378948;0;Uusimaa
23126;126;L_st101_Konala;Tie 101 Konala;Väg 101 Kånala;Road 101 Konala;101;4;2045;6678813;380580;0;Uusimaa
23145;145;L_st101_Kannelmäki;Tie 101 Kannelmäki;Väg 101 Gamlas;Road 101 Kannelmäki;101;5;1000;6679379;382456;0;Uusimaa
23146;146;L_st101_Länsi-Pakila;Tie 101 Länsi-Pakila;Väg 101 Västra Baggböle;Road 101 Länsi-Pakila;101;6;700;6679703;383931;0;Uusimaa
23147;147;L_st101_Pakila;Tie 101 Pakila;Väg 101 Baggböle;Road 101 Pakila;101;6;2600;6680241;386013;0;Uusimaa
23148;148;L_st101_Pukinmäki;Tie 101 Pukinmäki;Väg 101 Bocksbacka;Road 101 Pukinmäki;101;7;1800;6680380;387942;0;Uusimaa
23149;149;L_st101_Malmi;Tie 101 Malmi;Väg 101 Malm;Road 101 Malmi;101;7;4000;6680071;390191;0;Uusimaa
23162;162;L_st102_Olarinluoma;Tie 102 Olarinluoma;Väg 102 Olarsbäcken;Road 102 Olarinluoma;102;1;1331;6673158;375250;0;Uusimaa
23163;163;L_st102_Kokinkylä;Tie 102 Kokinkylä;Väg 102 Kockby;Road 102 Kokinkylä;102;2;1071;6674967;375030;0;Uusimaa
23195;195;L_st103_Satamatie;Tie 103, Satamatie;Väg 103, Satamatie; Road 103, Satamatie;103;1;2160;6679674;397783;0;Uusimaa
23105;105;L_st110_Hiidenvesi;Tie 110 Hiidenvesi;Väg 110 Hiidenvesi;Road 110 Hiidenvesi;110;14;2530;6696109;342048;0;Uusimaa
23151;151;L_st120_Pitäjänmäki;Tie 120 Pitäjänmäki;Väg 120 Sockenbacka;Road 120 Pitäjänmäki;120;2;250;6678163;382410;0;Uusimaa
23123;123;L_st120_Pähkinärinne;Tie 120 Pähkinärinne;Väg 120 Hasselbacken;Road 120 Pähkinärinne;120;3;2580;6681399;379841;0;Uusimaa
23138;138;L_st120_Odilampi;Tie 120 Odilampi;Väg 120 Odilampi;Road 120 Odilampi;120;4;5000;6687322;375348;0;Uusimaa
23136;136;L_st140_Arola;Tie 140 Arola;Väg 140 Arola;Road 140 Arola;140;9;4240;6713501;400809;0;Uusimaa
23155;155;L_st170_Kulosaari;Tie 170 Kulosaari;Väg 170 Brändö;Road 170 Kulosaari;170;1;1400;6674402;388829;0;Uusimaa
23135;135;L_st170_Ilola;Tie 170 Ilola;Väg 170 Illby;Road 170 Ilola;170;12;4360;6701930;430951;0;Uusimaa
23158;158;L_st170_Hagaböle;Tie 170 Hagaböle;Väg 170 Hagaböle;Road 170 Hagaböle;170;16;3330;6705977;444612;0;Uusimaa
23121;121;L_yt11888_Liljendal2;Tie 11888 Liljendal;Väg 11888 Liljendal;Road 11888 Liljendal;11888;2;2388;6713154;446481;0;Uusimaa
23196;196;L_Niinisaarentie;Helsinki, Niinisaarentie;Helsingfors, Niinisaarentie;Helsinki, Niinisaarentie;40946;3;590;6677390;398025;0;Uusimaa
23199;199;L_Olari;Merituulentie, Espoo;Havsvindsvägen, Esbo;Merituulentie, Espoo;99999;1;1199;6672520;376327;0;Uusimaa
24604;1604;L_vt1_Lahnajärvi;Tie 1 Lahnajärvi;Väg 1 Lahnajärvi;Road 1 Lahnajärvi;1;17;2205;6697783;319500;0;Varsinais-Suomi
24603;1603;L_vt1_Syvälampi;Tie 1 Syvälampi;Väg 1 Syvälampi;Road 1 Syvälampi;1;18;4586;6698242;314320;0;Varsinais-Suomi
24602;1602;L_vt1_Kruusila;Tie 1 Salo, Kruusila;Väg 1 Salo, Kruusila;Road 1 Salo, Kruusila;1;20;6303;6698961;305869;0;Varsinais-Suomi
24601;1601;L_vt1_Lakiamäki;Tie 1 Lakiamäki;Väg 1 Lakiamäki;Road 1 Lakiamäki;1;21;4143;6698335;300283;0;Varsinais-Suomi
23248;248;L_vt1_Muurla;Tie 1 Muurla;Väg 1 Muurla;Road 1 Muurla;1;22;1444;6699972;296355;0;Varsinais-Suomi
23247;247;L_vt1_Isokylä_läntinen;Tie 1 Isokylä;Väg 1 Storby;Road 1 Isokylä;1;24;958;6703840;288033;0;Varsinais-Suomi
23246;246;L_vt1_Halikko;Tie 1 Halikko;Väg 1 Halikko;Road 1 Halikko;1;25;63;6704186;286259;0;Varsinais-Suomi
23245;245;L_vt1_Hajala;Tie 1 Hajala;Väg 1 Hajala;Road 1 Hajala;1;26;4392;6705950;278162;0;Varsinais-Suomi
23244;244;L_vt1_Vista;Tie 1 Vista;Väg 1 Vista;Road 1 Vista;1;28;3278;6707148;263887;0;Varsinais-Suomi
23243;243;L_vt1_Paimionmäki;Tie 1 Paimionmäki;Väg 1 Paimionmäki;Road 1 Paimionmäki;1;29;2299;6706612;262552;0;Varsinais-Suomi
23242;242;L_vt1_Paimionjoki;Tie 1 Paimionjoki;Väg 1 Pemarån;Road 1 Paimionjoki;1;30;1067;6707101;261005;0;Varsinais-Suomi
23227;227;L_vt1_Kirismäki;Tie 1 Piikkiö, Kirismäki;Väg 1 Pikis, Kirismäki;Road 1 Piikkiö, Kirismäki;1;31;4794;6709166;253081;0;Varsinais-Suomi
23240;240;L_vt1_Piikkiö;Tie 1 Piikkiö;Väg 1 Pikis;Road 1 Piikkiö;1;32;905;6708863;251073;0;Varsinais-Suomi
23239;239;L_vt1_Kaarina;Tie 1 Kaarina;Väg 1 S:t Karins;Road 1 Kaarina;1;33;2485;6707636;247007;0;Varsinais-Suomi
23238;238;L_vt1_Kurkela_itäinen;Tie 1 Kurkela I;Väg 1 Kurkela Ö;Road 1 Kurkela E;1;34;867;6707368;244731;0;Varsinais-Suomi
23237;237;L_vt1_Kurkela_läntinen;Tie 1 Kurkela L;Väg 1 Kurkela V;Road 1 Kurkela W;1;35;812;6707708;243281;0;Varsinais-Suomi
23236;236;L_vt1_Huhkola;Tie 1 Huhkola;Väg 1 Huhkola;Road 1 Huhkola;1;35;1413;6707959;242946;0;Varsinais-Suomi
23235;235;L_vt1_Kupittaa;Tie 1 Kupittaa;Väg 1 Kupittaa;Road 1 Kupittaa;1;36;1302;6710204;241882;0;Varsinais-Suomi
23249;249;L_vt8_Ihala;Tie 8 Ihala;Väg 8 Ihala;Road 8 Ihala;8;102;5700;6714128;235535;0;Varsinais-Suomi
23205;205;L_vt8_Raisio;Tie 8 Raisio;Väg 8 Reso;Road 8 Raisio;8;103;1870;6716293;234549;0;Varsinais-Suomi
23250;250;L_vt8_Masku;Tie 8 Masku;Väg 8 Masko;Road 8 Masku;8;105;1512;6726405;231119;0;Varsinais-Suomi
23206;206;L_vt8_Pyhäranta;Tie 8 Pyhäranta;Väg 8 Pyhäranta;Road 8 Pyhäranta;8;114;3265;6773262;207045;0;Varsinais-Suomi
23208;208;L_vt9_Aura;Tie 9 Aura;Väg 9 Aura;Road 9 Aura;9;105;2993;6726048;251921;0;Varsinais-Suomi
23253;253;L_vt10_Satiaismäki;Tie 10 Lieto, Satiaismäki;Väg 10 Lundo, Satiaismäki;Road 10 Lieto, Satiaismäki;10;2;649;6713397;245514;0;Varsinais-Suomi
23230;230;L_vt10_Lieto;Tie 10 Lieto;Väg 10 Lundo;Road 10 Lieto;10;2;4686;6715408;248934;0;Varsinais-Suomi
23209;209;L_vt10_Marttila;Tie 10 Marttila;Väg 10 S:t Mårtens;Road 10 Marttila;10;7;4084;6726982;276938;0;Varsinais-Suomi
23231;231;L_kt40_Vanto;Tie 40 Raisio, Vanto;Väg 40 Reso, Vanto;Road 40 Raisio, Vanto;40;1;3657;6713730;229946;0;Varsinais-Suomi
23251;251;L_kt40_Krookila;Tie 40 Raisio, Krookila;Väg 40 Reso, Krookila;Road 40 Raisio, Krookila;40;2;2039;6713674;233176;0;Varsinais-Suomi
23233;233;L_kt40_Hauninen;Tie 40 Raisio, Hauninen;Väg 40 Reso, Hauninen;Road 40 Raisio, Hauninen;40;3;2525;6715782;237542;0;Varsinais-Suomi
23234;234;L_kt40_Oriketo;Tie 40 Turku, Oriketo;Väg 40 Åbo, Oriketo;Road 40 Turku, Oriketo;40;4;1992;6714723;242676;0;Varsinais-Suomi
23229;229;L_kt40_Tuulissuo;Tie 40 Tuulisuo;Väg 40 Tuulisuo;Road 40 Tuulisuo;40;5;5682;6711506;248323;0;Varsinais-Suomi
23201;201;L_st110_Muurla1;Tie 110 Muurla;Väg 110 Muurla;Road 110 Muurla;110;23;3240;6697881;299085;0;Varsinais-Suomi
23228;228;L_st110_Kevola;Tie 110 Kevola;Väg 110 Kevola;Road 110 Kevola;110;30;2767;6704521;268189;0;Varsinais-Suomi
23254;254;L_st180_Kuusisto;Tie 180 Kuusisto;Väg 180 Kuusisto;Road 180 Kuusisto;180;1;7180;6701349;244132;0;Varsinais-Suomi
23225;225;L_st180_Parainen;Tie 180 Parainen;Väg 180 Pargas;Road 180 Parainen;180;6;3660;6688156;233388;0;Varsinais-Suomi
23255;255;L_st180_Simonby;Tie 180 Simonby;Väg 180 Simonby;Road 180 Simonby;180;8;4614;6683306;225321;0;Varsinais-Suomi
23252;252;L_st185_Artukainen;Tie 185 Turku, Artukainen;Väg 185 Åbo, Artukainen;Road 185 Turku, Artukainen;185;1;1320;6712420;235262;0;Varsinais-Suomi
23257;257;L_yt1851_Turku_Härkämäki;Tie 42505 Turku, Suikkilantie;Väg 42505 Åbo, Suikkilantie;Road 42505 Turku, Suikkilantie;1851;1;2054;6712566;236237;0;Varsinais-Suomi
23221;221;L_vt2_Nakkila;Tie 2 Nakkila;Väg 2 Nakkila;Road 2 Nakkila;2;45;601;6813355;232111;0;Satakunta
23232;232;L_vt2_Porin_lentokent;Tie 2 Pori, lentokenttä;Väg 2 Björneborg, flygplats;Road 2 Pori, airport;2;47;1126;6824289;223867;0;Satakunta
23223;223;L_vt8_Eurajoki;Tie 8 Eurajoki;Väg 8 Euraåminne;Road 8 Eurajoki;8;120;381;6793570;211146;0;Satakunta
23207;207;L_vt8_Pori;Tie 8 Pori;Väg 8 Björneborg;Road 8 Pori;8;202;2395;6834489;224238;0;Satakunta
23224;224;L_vt11_Kullaa;Tie 11 Kullaa;Väg 11 Kulla;Road 11 Kullaa;11;15;3553;6823756;255230;0;Satakunta
23211;211;L_vt12_Lappi_tl;Tie 12 Lappi tl;Väg 12 Lappi tl;Road 12 Lappi tl;12;104;2365;6786181;216056;0;Satakunta
23226;226;L_vt23_Kankaanpää;Tie 23 Kankaanpää;Väg 23 Kankaanpää;Road 23 Kankaanpää;23;106;2790;6860012;249263;0;Satakunta
23403;403;L_vt2_Humppila;Tie 2 Humppila;Väg 2 Humppila;Road 2 Humppila;2;28;3240;6764749;299039;0;Kanta-Häme
23429;429;L_vt3_Riihimäki_Herajoki;Tie 3 Riihimäki;Väg 3 Riihimäki;Road 3 Riihimäki;3;110;6230;6732931;376354;0;Kanta-Häme
23432;432;L_vt3_Janakkala;Tie 3 Janakkala;Väg 3 Janakkala;Road 3 Janakkala;3;114;333;6749150;369295;0;Kanta-Häme
23465;465;L_vt3_Hämeenlinna_E;Tie 3 Hämeenlinna, etelä;Väg 3 Tavastehus, söder;Road 3 Hämeenlinna, south;3;116;2329;6764297;362573;0;Kanta-Häme
23466;466;L_vt3_Hämeenlinna_P;Tie 3 Hämeenlinna, pohjoinen;Väg 3 Tavastehus, nord;Road 3 Hämeenlinna, north;3;116;3526;6765491;362178;0;Kanta-Häme
23437;437;L_vt3_Hlinna_Mo3;Tie 3 Hämeenlinna;Väg 3 Tavastehus;Road 3 Hämeenlinna;3;117;435;6767051;360229;0;Kanta-Häme
23425;425;L_vt10_Tammela;Tie 10 Tammela;Väg 10 Tammela;Road 10 Tammela;10;18;3950;6747970;325310;0;Kanta-Häme
23405;405;L_vt10_Hämeenlinna;Tie 10 Hämeenlinna;Väg 10 Tavastehus;Road 10 Hämeenlinna;10;29;3190;6770188;373983;0;Kanta-Häme
23426;426;L_vt12_Hauho;Tie 12 Hauho;Väg 12 Hauho;Road 12 Hauho;12;213;1449;6782633;375439;0;Kanta-Häme
23428;428;L_kt54_Loppi;Tie 54 Loppi;Väg 54 Loppi;Road 54 Loppi;54;6;2460;6735916;357970;0;Kanta-Häme
23408;408;L_kt54_Hausjärvi;Tie 54 Hausjärvi;Väg 54 Hausjärvi;Road 54 Hausjärvi;54;13;4511;6741223;389740;0;Kanta-Häme
23440;440;L_vt3_Lempäälä_Lippo;Tie 3 Lempäälä;Väg 3 Lembois;Road 3 Lempäälä;3;124;3390;6795061;330298;0;Pirkanmaa
23401;401;L_vt3_Lempäälä_Sääksjärvi;Tie 3 Lempäälä, Kulju;Väg 3 Lembois, Kulju;Road 3 Lempäälä, Kulju;3;134;5138;6812693;327607;0;Pirkanmaa
23449;449;L_vt3_Tre_Sarankulma;Tie 3 Sarankulma;Väg 3 Sarankulma;Road 3 Sarankulma;3;136;1340;6818410;326671;0;Pirkanmaa
23460;460;L_vt3_Pirkkala_Huovi;Tie 3 Pirkkala, Huovi;Väg 3 Birkala, Huovi;Road 3 Pirkkala, Huovi;3;137;230;6817834;320671;0;Pirkanmaa
23463;463;L_vt3_Pirkkala_Sankila;Tie 3 Pirkkala, Sankila;Väg 3 Birkala, Sankila;Road 3 Pirkkala, Sankila;3;137;1476;6818632;319773;0;Pirkanmaa
23462;462;L_vt3_Nokia_Rajasalmi;Tie 3 Nokia, Rajasalmi;Väg 3 Nokia, Rajasalmi;Road 3 Nokia, Rajasalmi;3;138;1660;6820796;318305;0;Pirkanmaa
23450;450;L_vt3_Myllypuro;Tie 3 Myllypuro;Väg 3 Myllypuro;Road 3 Myllypuro;3;139;1406;6825020;317305;0;Pirkanmaa
23203;203;L_vt3_Hämeenkyrö;Tie 3 Hämeenkyrö;Väg 3 Tavastkyro;Road 3 Hämeenkyrö;3;204;2289;6833267;310572;0;Pirkanmaa
23204;204;L_vt3_Ikaalinen;Tie 3 Ikaalinen;Väg 3 Ikalis;Road 3 Ikaalinen;3;214;1530;6870752;288743;0;Pirkanmaa
23445;445;L_vt9_Kylmäkoski;Tie 9 Kylmäkoski;Väg 9 Kylmäkoski;Road 9 Kylmäkoski;9;122;7250;6780101;319520;0;Pirkanmaa
23435;435;L_vt9_Tre_Karkuvuori;Tie 9 Karkuvuori;Väg 9 Karkuvuori;Road 9 Karkuvuori;9;204;2190;6818439;329993;0;Pirkanmaa
23451;451;L_vt9_Tre_Aitovuori;Tie 9 Aitovuori;Väg 9 Aitovuori;Road 9 Aitovuori;9;206;4470;6824992;337269;0;Pirkanmaa
23404;404;L_vt9_Kangasala_Suinula;Tie 9 Suinula;Väg 9 Suinula;Road 9 Suinula;9;208;1525;6828070;344002;0;Pirkanmaa
23448;448;L_vt9_Längelmäki;Tie 9 Längelmäki, Solttila;Väg 9 Längelmäki, Solttila;Road 9 Längelmäki, Solttila;9;214;3028;6846653;378703;0;Pirkanmaa
23406;406;L_vt11_Nokia_Linnavuori;Tie 11 Nokia;Väg 11 Nokia;Road 11 Nokia;11;4;3655;6824081;306705;0;Pirkanmaa
23210;210;L_vt12_Vammala;Tie 12 Vammala;Väg 12 Vammala;Road 12 Vammala;12;118;1600;6804815;277250;0;Pirkanmaa
23438;438;L_vt12_Tre_Paasikiventie;Tie 12 Uittotunneli;Väg 12 Flottningstunnel;Road 12 Log floating tunnel;12;127;480;6823923;324357;0;Pirkanmaa
23453;453;L_vt12_Tre_Mustalahti;Tie 12 Särkänniemi;Väg 12 Särkänniemi;Road 12 Särkänniemi;12;127;3125;6823081;326568;0;Pirkanmaa
23454;454;L_vt12_Tre_Tampella;Tie 12 Tampella;Väg 12 Tampella;Road 12 Tampella;12;127;4160;6823485;327594;0;Pirkanmaa
23457;457;L_vt12_Tre_Petsamo;Tie 12 Petsamo;Väg 12 Petsamo;Road 12 Petsamo;12;127;5750;6823418;329034;0;Pirkanmaa
23439;439;L_vt12_Tre_Teiskontie;Tie 12 Tampere, Keskussair;Väg 12 Tampere, Teiskontie;Road 12 Tampere, Teiskontie;12;201;1050;6823069;330891;0;Pirkanmaa
23458;458;L_vt12_Tre_Ruotula;Tie 12 Ruotula;Väg 12 Ruotula;Road 12 Ruotula;12;201;2758;6823993;332559;0;Pirkanmaa
23431;431;L_vt12_Kangasala_Suorama;Tie 12 Suorama;Väg 12 Suorama;Road 12 Suorama;12;202;6100;6819803;338746;0;Pirkanmaa
23456;456;L_kt65_Tre_Lielahti;Tie 65 Tampere, Lielahti;Väg 65 Tammerfors, Lielahti;Road 65 Tampere, Lielahti;65;1;584;6824291;323337;0;Pirkanmaa
23455;455;L_kt65_Tre_Epilänharju;Tie 65 Tampere, Epilänharju;Väg 65 Tammerfors, Epilänharju;Road 65 Tampere, Epilänharju;65;1;2072;6825022;321986;0;Pirkanmaa
23421;421;L_kt65_Ylöjärvi;Tie 65 Ylöjärvi;Väg 65 Ylöjärvi;Road 65 Ylöjärvi;65;1;6000;6828028;319668;0;Pirkanmaa
23409;409;L_kt66_Ruovesi;Tie 66 Ruovesi;Väg 66 Ruovesi;Road 66 Ruovesi;66;9;4500;6878914;344576;0;Pirkanmaa
23402;402;L_st130_Jutikkala;Tie 130 Iittala;Väg 130 Iittala;Road 130 Iittala;130;19;3115;6783022;341602;0;Pirkanmaa
23433;433;L_st130_Pispantie;Tie 130 Valkeakoski;Väg 130 Valkeakoski;Road 130 Valkeakoski;130;23;2356;6798405;336857;0;Pirkanmaa
23422;422;L_st190_Viiala;Tie 190 Viiala;Väg 190 Viiala;Road 190 Viiala;190;2;2050;6793705;325065;0;Pirkanmaa
23464;464;L_yt3495_Rautaharkko;Tie 3495 Rautaharkko;Väg 3495 Rautaharkko;Road 3495 Rautaharkko;3495;1;1903;6820203;328209;0;Pirkanmaa
23436;436;L_yt13782_Nokia_Rajasalmi;Tie 13782 Nokia, Rajasalmi;Väg 13782 Nokia, Rajasalmi;Road 13782 Nokia, Rajasalmi;13782;1;1944;6820832;318243;0;Pirkanmaa
23443;443;L_Tre_Pispalan_valtatie;Tampere, Pispalan valtatie;Tammefors, Pispalan valtatie;Tampere, Pispalan valtatie;99999;0;0;6823610;324476;0;Pirkanmaa
23424;424;L_vt4_Renkomäki;Tie 4 Renkomäki;Väg 4 Renkomäki;Road 4 Renkomäki;4;119;3557;6753237;424633;0;Päijät-Häme
23461;461;L_vt4_Vierumäki;Tie 4 Vierumäki;Väg 4 Vierumäki;Road 4 Vierumäki;4;205;1657;6774253;440997;0;Päijät-Häme
23628;628;L_vt4_Murhamäki;Tie 4 Heinola, Murhamäki;Väg 4 Heinola, Murhamäki;Road 4 Heinola, Murhamäki;4;210;1626;6793992;450160;0;Päijät-Häme
23442;442;L_vt4_Heinola_Lusi;Tie 4 Heinola, Lusi;Väg 4 Heinola, Lusi;Road 4 Heinola, Lusi;4;211;5700;6800653;449026;0;Päijät-Häme
23623;623;L_vt4_Hartola;Tie 4 Hartola;Väg 4 Hartola;Road 4 Hartola;4;214;5196;6817932;445701;0;Päijät-Häme
23407;407;L_vt12_Hollola;Tie 12 Hollola;Väg 12 Hollola;Road 12 Hollola;12;219;4749;6764416;407134;0;Päijät-Häme
23446;446;L_vt12_Lahti_Kärpäsen;Tie 12 Lahti, Kärpäsenmäki;Väg 12 Lahtis, Kärpäsenmäki;Road 12 Lahti, Kärpäsenmäki;12;222;3363;6761521;423971;0;Päijät-Häme
23447;447;L_vt12_Lahti_Joutjärvi;Tie 12 Lahti, Joutjärvi;Väg 12 Lahtis, Joutjärvi;Road 12 Lahti, Joutjärvi;12;223;3280;6760527;429546;0;Päijät-Häme
23430;430;L_vt24_Asikkala;Tie 24 Asikkala;Väg 24 Asikkala;Road 24 Asikkala;24;4;2150;6777591;426450;0;Päijät-Häme
23441;441;L_st140_Hollola;Tie 140 Hollola;Väg 140 Hollola;Road 140 Hollola;140;25;1530;6767679;432255;0;Päijät-Häme
23521;521;L_vt6_Elimäki;Tie 6 Elimäki;Väg 6 Elimä;Road 6 Elimäki;6;127;610;6737970;471940;0;Kymenlaakso
23594;594;L_vt6_Hevossuo;Tie 6 Hevossuo;Väg 6 Hevossuo;Road 6 Hevossuo;6;128;1638;6744963;475433;0;Kymenlaakso
23595;595;L_vt6_Puhjo;Tie 6 Kuusankoski, Puhjo;Väg 6 Puhjo;Road 6 Kuusankoski, Puhjo;6;129;2018;6748569;479983;0;Kymenlaakso
23596;596;L_vt6_Käyrälampi;Tie 6 Kouvola, Käyrälampi;Väg 6 Kouvola, Käyrälampi;Road 6 Kouvola, Käyrälampi;6;201;2887;6749853;486860;0;Kymenlaakso
23529;529;L_vt6_Utti;Tie 6 Utti;Väg 6 Uttis;Road 6 Utti;6;202;2931;6750154;490196;0;Kymenlaakso
23592;592;L_vt6_Metso;Tie 6 Metso;Väg 6 Metso;Road 6 Metso;6;203;5891;6752291;500120;0;Kymenlaakso
23578;578;L_vt7_Ahvenkoski_Itä;Tie 7 Ahvenkoski2;Väg 7 Abborrfors2;Road 7 Ahvenkoski2;7;23;589;6706107;470351;0;Kymenlaakso
