TSA_NUMBER;LAM_STATION_ID;TSA_NAME;NAME_FI;NAME_SE;NAME_EN;ROAD;ROAD_PART;ROAD_DISTANCE;TSA_LOC_KKJ_Y,TSA_LOC_KKJ_X,TSA_ALTITUDE,REGION_NAME_FI,LOC_ETRS89_LAT,LOC_ETRS89_LON
23142;142;L_vt4_Levanto;"Tie 4 Mäntsälä, Levanto";"Väg 4 Mäntsälä, Levanto";"Road 4 Mäntsälä, Levanto";4;115;4391;6737302;3415180;0;Uusimaa;60.7368;25.442
23111;111;L_vt6_Liljendal;"Tie 6 Liljendal";"Väg 6 Liljendal";"Road 6 Liljendal";6;117;2820;6716788;3447987;0;Uusimaa;60.5583;26.0488
23179;179;L_vt7_Fazerila;"Tie 7 Länsimäentie";"Väg 7 Västerkullavägen";"Road 7 Länsimäentie";7;1;2300;6684041;3395634;0;Uusimaa;60.2544;25.1119
23141;141;L_vt7_Box;"Tie 7 Sipoo, Box";"Väg 7 Sibbo, Box";"Road 7 Sipoo, Box";7;5;1360;6688935;3410602;0;Uusimaa;60.3019;25.38
23112;112;L_vt7_Treksilä;"Tie 7 Porvoo, Treksilä";"Väg 7 Borgå, Drägsby";"Road 7 Porvoo, Treksilä";7;7;3888;6694688;3419065;0;Uusimaa;60.3552;25.5307
23001;1;L_vt7_Rita;"Tie 7 Porvoo, Rita";"Väg 7 Borgå, Rita";"Road 7 Porvoo, Rita";7;10;1050;6701500;3428067;0;Uusimaa;60.4181;25.6913
23184;184;L_vt7_Porvoo_Uusikrouvi;"Tie 7 Porvoo_Uusikrouvi";"Väg 7 Porvoo_Uusikrouvi";"Road 7 Porvoo_Uusikrouvi";7;11;2525;6702308;3431298;0;Uusimaa;60.4259;25.7496
23185;185;L_vt7_Porvoo_Lohijärvi;"Tie 7 Porvoo_Lohijärvi";"Väg 7 Porvoo_Lohijärvi";"Road 7 Porvoo_Lohijärvi";7;12;2265;6703784;3435380;0;Uusimaa;60.4398;25.8232
23186;186;L_vt7_Loviisa_Gammelbyviken;"Tie 7 Loviisa_Gammelbyviken";"Väg 7 Loviisa_Gammelbyviken";"Road 7 Loviisa_Gammelbyviken";7;14;1241;6709362;3440441;0;Uusimaa;60.4906;25.9134
23187;187;L_vt7_Loviisa_Kärrbacka;"Tie 7 Loviisa_Kärrbacka";"Väg 7 Loviisa_Kärrbacka";"Road 7 Loviisa_Kärrbacka";7;17;4483;6707255;3451703;0;Uusimaa;60.4733;26.1188
